ERROR: BRAM accum_buff[1]: 0 != 1 at rho = -1095 (rho index = 84), theta = 177.
ERROR: BRAM accum_buff[2]: 0 != 1 at rho = -1095 (rho index = 84), theta = 178.
ERROR: BRAM accum_buff[3]: 0 != 2 at rho = -1095 (rho index = 84), theta = 179.
ERROR: BRAM accum_buff[8]: 1 != 2 at rho = -1094 (rho index = 85), theta = 168.
ERROR: BRAM accum_buff[13]: 0 != 1 at rho = -1094 (rho index = 85), theta = 173.
ERROR: BRAM accum_buff[15]: 0 != 1 at rho = -1094 (rho index = 85), theta = 175.
ERROR: BRAM accum_buff[0]: 0 != 1 at rho = -1094 (rho index = 85), theta = 176.
ERROR: BRAM accum_buff[1]: 0 != 1 at rho = -1094 (rho index = 85), theta = 177.
ERROR: BRAM accum_buff[2]: 0 != 2 at rho = -1094 (rho index = 85), theta = 178.
ERROR: BRAM accum_buff[3]: 1 != 2 at rho = -1094 (rho index = 85), theta = 179.
ERROR: BRAM accum_buff[8]: 0 != 1 at rho = -1093 (rho index = 86), theta = 168.
ERROR: BRAM accum_buff[14]: 0 != 1 at rho = -1093 (rho index = 86), theta = 174.
ERROR: BRAM accum_buff[15]: 0 != 1 at rho = -1093 (rho index = 86), theta = 175.
ERROR: BRAM accum_buff[0]: 0 != 2 at rho = -1093 (rho index = 86), theta = 176.
ERROR: BRAM accum_buff[1]: 0 != 2 at rho = -1093 (rho index = 86), theta = 177.
ERROR: BRAM accum_buff[2]: 1 != 2 at rho = -1093 (rho index = 86), theta = 178.
ERROR: BRAM accum_buff[3]: 0 != 2 at rho = -1093 (rho index = 86), theta = 179.
ERROR: BRAM accum_buff[7]: 0 != 1 at rho = -1092 (rho index = 87), theta = 167.
ERROR: BRAM accum_buff[13]: 0 != 1 at rho = -1092 (rho index = 87), theta = 173.
ERROR: BRAM accum_buff[14]: 0 != 1 at rho = -1092 (rho index = 87), theta = 174.
ERROR: BRAM accum_buff[15]: 0 != 2 at rho = -1092 (rho index = 87), theta = 175.
ERROR: BRAM accum_buff[0]: 1 != 2 at rho = -1092 (rho index = 87), theta = 176.
ERROR: BRAM accum_buff[1]: 1 != 2 at rho = -1092 (rho index = 87), theta = 177.
ERROR: BRAM accum_buff[2]: 0 != 2 at rho = -1092 (rho index = 87), theta = 178.
ERROR: BRAM accum_buff[3]: 2 != 4 at rho = -1092 (rho index = 87), theta = 179.
ERROR: BRAM accum_buff[7]: 0 != 1 at rho = -1091 (rho index = 88), theta = 167.
ERROR: BRAM accum_buff[8]: 0 != 1 at rho = -1091 (rho index = 88), theta = 168.
ERROR: BRAM accum_buff[13]: 0 != 1 at rho = -1091 (rho index = 88), theta = 173.
ERROR: BRAM accum_buff[14]: 0 != 1 at rho = -1091 (rho index = 88), theta = 174.
